id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
87697,200295,287353,2016-05-05 00:00:00,62,70,right,medium,medium,57,63,58,54,49,68,63,72,45,63,76,73,72,54,68,62,61,56,60,61,41,39,59,59,75,36,37,33,14,13,13,12,10
87716,200519,213482,2016-04-28 00:00:00,66,70,right,high,medium,50,27,74,65,23,39,52,38,43,51,44,55,52,59,49,58,74,65,73,18,65,62,37,42,47,68,67,62,12,6,10,10,7
87735,20166,32504,2012-02-22 00:00:00,68,68,left,medium,medium,62,56,48,68,49,63,73,69,67,66,74,69,76,70,76,85,66,77,54,59,69,68,71,71,58,53,67,66,6,5,6,11,7
87745,214168,260182,2015-09-21 00:00:00,71,78,right,high,low,67,63,58,66,52,74,73,46,60,72,91,90,83,68,85,78,51,63,60,66,60,29,68,65,57,28,34,32,13,13,11,10,16
87763,199674,171338,2016-01-21 00:00:00,72,72,right,low,high,66,37,72,62,29,35,64,57,67,63,63,59,55,68,57,44,62,74,78,33,84,68,51,63,67,75,74,75,8,6,13,12,16
87783,184611,98363,2014-04-18 00:00:00,64,68,right,None,8,66,63,60,62,55,66,69,51,58,64,73,76,72,63,70,65,58,67,57,60,48,33,66,60,63,20,25,26,15,6,5,10,6
87798,14501,25927,2012-02-22 00:00:00,70,70,right,medium,low,68,61,57,70,57,71,59,59,69,77,55,34,68,68,72,70,66,63,57,65,57,48,68,73,67,33,35,29,7,13,6,7,11
87806,205498,282775,2016-05-05 00:00:00,79,83,right,medium,medium,70,57,56,85,71,71,75,76,82,82,77,77,82,80,74,71,61,83,58,62,78,78,72,82,84,63,75,74,14,7,13,14,8
87842,168363,41987,2011-02-22 00:00:00,64,66,left,,_0,65,46,61,65,44,59,58,43,53,62,71,67,65,65,69,53,67,71,70,48,64,63,46,57,51,62,63,63,13,9,6,7,13
87847,194198,94306,2016-03-31 00:00:00,70,72,left,medium,medium,13,9,16,17,9,10,10,20,21,15,52,46,39,68,22,24,54,28,66,8,31,25,14,20,22,10,11,12,71,69,66,67,74
87865,231361,687733,2016-04-28 00:00:00,59,75,right,medium,medium,34,27,59,39,32,30,29,28,34,33,64,63,40,51,53,44,70,60,78,26,50,54,28,28,47,57,65,61,11,6,14,9,6
87870,222875,500932,2015-12-10 00:00:00,69,78,left,medium,medium,67,60,50,68,41,74,35,34,61,72,81,85,71,62,70,66,67,58,67,55,70,32,66,63,41,35,33,31,9,8,11,16,14
87881,7814,37787,2015-01-16 00:00:00,72,72,left,low,medium,49,33,72,60,49,43,55,28,61,62,33,30,32,71,58,43,66,51,74,29,75,78,32,47,66,76,72,73,15,5,8,9,10
87903,139862,93466,2016-03-10 00:00:00,71,71,right,medium,medium,60,40,67,72,34,58,53,40,70,70,48,53,63,70,71,67,72,65,69,66,75,73,63,65,65,70,73,75,8,8,13,10,6
87926,27107,39848,2011-08-30 00:00:00,62,62,right,medium,medium,52,45,72,65,53,50,45,46,45,60,42,32,49,57,58,70,60,55,75,58,70,60,52,55,54,56,57,54,6,13,9,5,7
87934,210010,422121,2016-04-21 00:00:00,71,76,right,medium,medium,60,47,47,79,59,75,71,47,65,77,76,69,81,55,83,66,55,68,54,64,45,55,64,76,41,66,55,55,9,15,12,9,7
87953,172152,37963,2015-05-08 00:00:00,63,63,right,high,medium,63,46,63,64,56,58,61,58,62,63,58,62,57,63,58,67,62,68,70,62,58,63,56,62,54,62,63,64,13,11,11,14,10
87970,212755,467495,2016-02-25 00:00:00,75,82,left,medium,high,57,51,73,76,50,72,52,34,84,76,71,72,73,75,74,66,78,74,72,57,69,79,71,66,54,71,70,68,14,8,12,8,11
87987,139701,45418,2016-06-16 00:00:00,71,71,left,medium,medium,42,37,71,61,47,50,43,45,62,53,33,33,32,71,57,59,61,32,82,51,80,75,37,52,48,73,71,70,11,7,6,12,9
88016,190358,149950,2014-05-30 00:00:00,64,68,left,medium,medium,53,42,60,64,42,50,45,40,58,58,58,55,57,65,46,59,61,66,78,46,70,69,32,50,46,67,64,66,11,15,12,13,5
88023,179898,26861,2015-07-03 00:00:00,67,67,left,medium,medium,72,45,60,69,47,69,73,46,70,71,75,75,75,65,71,73,73,73,58,62,71,63,58,62,38,62,65,70,13,7,15,6,5
88035,172685,38148,2016-01-21 00:00:00,70,70,right,medium,medium,72,32,60,67,33,64,58,27,69,68,69,66,63,73,62,51,71,78,71,40,75,70,57,59,41,70,74,73,13,5,11,5,11
88061,190143,162497,2016-04-07 00:00:00,71,72,left,high,medium,75,42,59,68,42,70,71,67,61,65,73,75,73,73,59,71,67,67,65,57,70,72,60,59,45,70,72,75,12,13,10,16,13
88087,201096,213816,2016-03-03 00:00:00,68,69,right,medium,high,37,24,54,75,24,41,48,46,70,62,56,66,58,65,56,40,64,59,74,21,56,77,44,56,50,68,71,61,11,7,7,13,10
88096,135613,38065,2009-02-22 00:00:00,74,80,right,,_0,60,57,72,67,,58,,54,65,72,65,69,,72,,66,,66,75,55,77,70,67,,70,76,76,,10,22,65,22,22
88100,111093,38821,2015-10-16 00:00:00,79,79,left,medium,low,82,70,55,81,69,86,85,77,79,85,77,66,74,75,76,72,53,59,58,79,51,23,69,77,72,24,27,23,15,10,8,13,16
88125,212310,69166,2015-04-10 00:00:00,68,71,right,high,low,53,74,67,64,71,69,56,64,54,69,79,78,84,64,79,73,82,67,58,65,25,21,82,55,74,22,27,25,7,13,11,10,5
88137,188164,148790,2015-09-21 00:00:00,66,71,right,medium,medium,68,68,51,68,66,66,58,72,66,69,51,65,71,58,79,72,60,62,74,71,61,40,68,66,58,41,42,38,16,12,15,10,16
88155,2769,25925,2016-03-17 00:00:00,71,71,right,high,high,72,48,68,70,59,72,68,60,69,74,76,77,68,73,65,65,69,68,67,58,74,70,63,65,63,70,70,70,9,16,11,14,14
88185,199823,213502,2016-03-31 00:00:00,70,75,right,medium,low,71,58,37,81,39,71,82,75,76,75,62,65,71,60,72,60,47,51,57,65,48,51,59,76,61,49,59,36,8,11,6,7,10
88208,192238,161651,2016-03-03 00:00:00,77,77,right,medium,high,53,35,50,76,27,48,47,56,72,74,65,62,57,80,73,54,71,80,73,58,85,82,57,72,47,75,81,71,14,12,9,11,9
88228,3790,33849,2013-10-11 00:00:00,70,70,right,medium,medium,43,34,79,61,30,45,45,43,58,57,31,34,38,67,49,62,67,52,80,53,74,73,38,51,54,73,71,62,13,9,13,13,11
88244,192463,165607,2016-03-17 00:00:00,69,69,left,medium,medium,80,66,57,75,61,72,83,79,74,73,66,65,74,62,74,70,55,33,47,71,47,36,67,65,68,24,38,35,6,12,6,7,16
88261,214930,445908,2015-10-16 00:00:00,66,73,right,medium,medium,53,44,66,65,23,49,53,41,58,53,68,65,62,56,70,51,74,65,69,37,72,67,43,39,55,69,65,64,7,12,10,8,16
88273,171502,150737,2013-05-24 00:00:00,65,70,left,medium,high,49,46,67,55,39,39,49,42,47,48,70,73,57,50,62,55,72,75,79,44,80,52,35,46,53,65,64,69,5,11,14,13,5
88285,110019,2768,2016-03-17 00:00:00,74,74,left,medium,medium,44,45,72,74,31,44,50,22,60,63,51,53,58,77,61,41,79,34,72,20,65,80,40,60,16,76,76,77,12,15,13,14,10
88306,170770,37475,2016-01-28 00:00:00,73,73,left,medium,medium,77,43,68,74,44,74,66,58,70,74,72,75,70,70,66,72,78,70,67,54,77,69,67,66,61,74,77,76,15,16,15,15,13
88329,179935,39180,2010-08-30 00:00:00,57,60,right,,_0,50,55,54,55,56,50,52,46,45,54,70,68,63,60,54,60,69,65,56,48,50,25,55,52,50,20,30,25,12,5,5,8,6
88333,171791,26552,2016-03-10 00:00:00,81,81,right,medium,high,36,40,77,63,34,59,33,32,54,64,55,54,62,84,56,29,73,69,83,29,84,85,40,55,43,84,85,84,7,11,16,10,6
88364,3765,11349,2012-02-22 00:00:00,67,67,right,low,high,46,16,62,50,31,21,28,58,44,49,49,33,48,66,50,40,59,53,81,45,79,72,20,59,60,70,68,64,8,12,15,13,9
88372,211688,391058,2016-04-21 00:00:00,80,85,left,high,medium,84,56,60,78,59,77,80,49,81,76,85,90,83,78,85,58,75,82,62,59,74,76,72,70,52,77,79,82,13,10,9,12,9
88394,216460,474589,2016-05-05 00:00:00,81,87,right,medium,high,47,37,78,68,30,47,36,44,58,55,71,73,57,72,51,72,90,70,83,48,90,83,24,27,38,84,85,87,9,11,7,10,15
88408,40702,32043,2011-08-30 00:00:00,68,68,right,medium,medium,51,60,77,76,59,58,59,65,72,71,32,44,43,62,58,70,54,30,73,70,62,70,52,76,60,64,70,60,11,12,5,10,9
88417,184189,32589,2015-12-17 00:00:00,70,70,left,medium,high,53,35,68,63,41,52,46,44,59,61,69,70,52,71,53,57,74,78,85,51,74,67,52,40,48,70,70,61,8,12,11,11,13
88454,152912,18653,2016-04-14 00:00:00,68,68,right,medium,low,56,74,74,58,70,58,54,66,44,68,45,31,50,70,52,72,74,54,75,70,71,26,77,55,78,26,24,29,11,16,15,9,14
88470,182744,35712,2016-03-10 00:00:00,77,77,left,high,medium,77,61,74,70,50,73,69,71,69,75,78,86,76,71,75,88,74,84,79,82,82,68,71,54,57,78,77,81,15,13,13,14,16
88499,178523,41445,2012-02-22 00:00:00,67,67,right,medium,medium,48,70,75,65,66,58,44,52,52,65,54,54,66,60,52,74,91,46,79,62,65,41,70,58,68,31,31,39,10,12,12,5,5
88508,219411,207511,2015-10-30 00:00:00,74,78,right,high,medium,70,67,60,66,54,75,75,34,61,74,94,93,90,71,83,73,72,84,63,77,27,30,68,66,58,18,21,15,13,8,12,7,13
88533,52827,38550,2014-05-09 00:00:00,73,73,left,medium,low,76,69,39,81,66,67,85,79,85,71,57,59,58,70,69,82,52,60,65,80,59,51,74,78,77,42,54,39,12,10,11,13,12
